Sucursal,Zona,MAC,FECHA,X,Y,,,,,,,,,,,
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,16.93415634,7.856031294,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Linea Blanca Estufas,04D3950742E4,15/03/2021 12:03:00,24.01581471,18.05460088,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,ITK,A0D807642DFA,15/03/2021 17:43:00,16.42084255,7.750915842,A0D807,A0,A0D8,D8,07,64,2D,FA,2DFA,642DFA,A0:D8:07:64:2D:FA
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.03639466,7.262632998,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,304B07F5262D,15/03/2021 12:03:00,24.14863287,16.7695852,304B07,30,304B,4B,07,F5,26,2D,262D,F5262D,30:4B:07:F5:26:2D
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,11.90028874,11.34762109,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.43928988,13.95747863,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Computo,2446C8CB354C,13/03/2021 22:11:00,20.34226293,8.553937081,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.43928988,13.95747863,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.40793373,14.26084935,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,13.70955787,7.195703962,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
